model,model_label,condition_id,item_id,question,condition_type,position_pair,arrangement,earlier_position_card,later_position_card,earlier_month,later_month,response,selected_month,classification,conflict_reported,format_compliant,response_time_seconds
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-early-middle-AA,p01,During which month does the Orvane begin nesting?,agreement,early-middle,AA,500,2500,March,March,March,march,supported,False,True,1.990261
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-early-middle-AA,p01,During which month does the Orvane begin nesting?,agreement,early-middle,AA,500,2500,March,March,March,march,supported,False,True,16.065222
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-early-middle-AB,p01,During which month does the Orvane begin nesting?,conflict,early-middle,AB,500,2500,March,September,September,september,later,False,True,132.791494
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-early-middle-AB,p01,During which month does the Orvane begin nesting?,conflict,early-middle,AB,500,2500,March,September,September,september,later,False,True,5.753251
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-early-middle-AB,p01,During which month does the Orvane begin nesting?,conflict,early-middle,AB,500,2500,March,September,September,september,later,False,True,18.722553
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-early-middle-BA,p01,During which month does the Orvane begin nesting?,conflict,early-middle,BA,500,2500,September,March,March,march,later,False,True,33.130777
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-early-middle-BA,p01,During which month does the Orvane begin nesting?,conflict,early-middle,BA,500,2500,September,March,September,september,earlier,False,True,2.254632
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-early-middle-BA,p01,During which month does the Orvane begin nesting?,conflict,early-middle,BA,500,2500,September,March,March,march,later,False,True,16.163249
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-early-middle-BB,p01,During which month does the Orvane begin nesting?,agreement,early-middle,BB,500,2500,September,September,September,september,supported,False,True,34.125793
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-early-middle-BB,p01,During which month does the Orvane begin nesting?,agreement,early-middle,BB,500,2500,September,September,September,september,supported,False,True,2.052802
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-early-middle-BB,p01,During which month does the Orvane begin nesting?,agreement,early-middle,BB,500,2500,September,September,September,september,supported,False,True,22.626325
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-middle-late-AA,p01,During which month does the Orvane begin nesting?,agreement,middle-late,AA,2500,4500,March,March,March,march,supported,False,True,130.545917
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-middle-late-AA,p01,During which month does the Orvane begin nesting?,agreement,middle-late,AA,2500,4500,March,March,March,march,supported,False,True,1.995307
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-middle-late-AA,p01,During which month does the Orvane begin nesting?,agreement,middle-late,AA,2500,4500,March,March,March,march,supported,False,True,15.222895
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-middle-late-AB,p01,During which month does the Orvane begin nesting?,conflict,middle-late,AB,2500,4500,March,September,September,september,later,False,True,32.559441
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-middle-late-AB,p01,During which month does the Orvane begin nesting?,conflict,middle-late,AB,2500,4500,March,September,March,march,earlier,False,True,1.85871
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-middle-late-AB,p01,During which month does the Orvane begin nesting?,conflict,middle-late,AB,2500,4500,March,September,March,march,earlier,False,True,9.296184
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-middle-late-BA,p01,During which month does the Orvane begin nesting?,conflict,middle-late,BA,2500,4500,September,March,March,march,later,False,True,32.589714
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-middle-late-BA,p01,During which month does the Orvane begin nesting?,conflict,middle-late,BA,2500,4500,September,March,September,september,earlier,False,True,1.906756
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-middle-late-BA,p01,During which month does the Orvane begin nesting?,conflict,middle-late,BA,2500,4500,September,March,September,september,earlier,False,True,20.741069
google/gemma-4-31b-it,Gemma 4 31B Instruct,p01-n5000-middle-late-BB,p01,During which month does the Orvane begin nesting?,agreement,middle-late,BB,2500,4500,September,September,September,september,supported,False,True,93.04441
openai/gpt-5.6-luna,GPT-5.6 Luna,p01-n5000-middle-late-BB,p01,During which month does the Orvane begin nesting?,agreement,middle-late,BB,2500,4500,September,September,September,september,supported,False,True,1.825905
z-ai/glm-5.3-flash,GLM 5.3 Flash,p01-n5000-middle-late-BB,p01,During which month does the Orvane begin nesting?,agreement,middle-late,BB,2500,4500,September,September,September,september,supported,False,True,14.263571
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-early-late-AA,p02,During which month does the Talmeri start migrating north?,agreement,early-late,AA,500,4500,September,September,September,september,supported,False,True,129.455393
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-early-late-AA,p02,During which month does the Talmeri start migrating north?,agreement,early-late,AA,500,4500,September,September,September,september,supported,False,True,1.969518
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-early-late-AA,p02,During which month does the Talmeri start migrating north?,agreement,early-late,AA,500,4500,September,September,September,september,supported,False,True,14.718041
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-early-late-AB,p02,During which month does the Talmeri start migrating north?,conflict,early-late,AB,500,4500,September,March,March,march,later,False,True,43.445282
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-early-late-AB,p02,During which month does the Talmeri start migrating north?,conflict,early-late,AB,500,4500,September,March,September,september,earlier,False,True,2.628585
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-early-late-AB,p02,During which month does the Talmeri start migrating north?,conflict,early-late,AB,500,4500,September,March,March,march,later,False,True,22.258076
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-early-late-BA,p02,During which month does the Talmeri start migrating north?,conflict,early-late,BA,500,4500,March,September,September,september,later,False,True,135.170105
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-early-late-BA,p02,During which month does the Talmeri start migrating north?,conflict,early-late,BA,500,4500,March,September,March,march,earlier,False,True,2.463587
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-early-late-BA,p02,During which month does the Talmeri start migrating north?,conflict,early-late,BA,500,4500,March,September,September,september,later,False,True,14.684531
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-early-late-BB,p02,During which month does the Talmeri start migrating north?,agreement,early-late,BB,500,4500,March,March,March,march,supported,False,True,132.712354
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-early-late-BB,p02,During which month does the Talmeri start migrating north?,agreement,early-late,BB,500,4500,March,March,March,march,supported,False,True,2.858851
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-early-late-BB,p02,During which month does the Talmeri start migrating north?,agreement,early-late,BB,500,4500,March,March,March,march,supported,False,True,13.458812
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-early-middle-AA,p02,During which month does the Talmeri start migrating north?,agreement,early-middle,AA,500,2500,September,September,September,september,supported,False,True,34.545509
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-early-middle-AA,p02,During which month does the Talmeri start migrating north?,agreement,early-middle,AA,500,2500,September,September,September,september,supported,False,True,2.220668
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-early-middle-AA,p02,During which month does the Talmeri start migrating north?,agreement,early-middle,AA,500,2500,September,September,September,september,supported,False,True,17.155963
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-early-middle-AB,p02,During which month does the Talmeri start migrating north?,conflict,early-middle,AB,500,2500,September,March,March,march,later,False,True,51.132142
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-early-middle-AB,p02,During which month does the Talmeri start migrating north?,conflict,early-middle,AB,500,2500,September,March,September,september,earlier,False,True,1.852294
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-early-middle-AB,p02,During which month does the Talmeri start migrating north?,conflict,early-middle,AB,500,2500,September,March,March,march,later,False,True,22.163485
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-early-middle-BA,p02,During which month does the Talmeri start migrating north?,conflict,early-middle,BA,500,2500,March,September,March,march,earlier,False,True,97.684772
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-early-middle-BA,p02,During which month does the Talmeri start migrating north?,conflict,early-middle,BA,500,2500,March,September,March,march,earlier,False,True,1.882839
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-early-middle-BA,p02,During which month does the Talmeri start migrating north?,conflict,early-middle,BA,500,2500,March,September,September,september,later,False,True,21.055112
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-early-middle-BB,p02,During which month does the Talmeri start migrating north?,agreement,early-middle,BB,500,2500,March,March,March,march,supported,False,True,92.487359
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-early-middle-BB,p02,During which month does the Talmeri start migrating north?,agreement,early-middle,BB,500,2500,March,March,March,march,supported,False,True,2.580821
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-early-middle-BB,p02,During which month does the Talmeri start migrating north?,agreement,early-middle,BB,500,2500,March,March,March,march,supported,False,True,13.548197
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-middle-late-AA,p02,During which month does the Talmeri start migrating north?,agreement,middle-late,AA,2500,4500,September,September,September,september,supported,False,True,34.044159
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-middle-late-AA,p02,During which month does the Talmeri start migrating north?,agreement,middle-late,AA,2500,4500,September,September,September,september,supported,False,True,2.094071
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-middle-late-AA,p02,During which month does the Talmeri start migrating north?,agreement,middle-late,AA,2500,4500,September,September,September,september,supported,False,True,13.274044
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-middle-late-AB,p02,During which month does the Talmeri start migrating north?,conflict,middle-late,AB,2500,4500,September,March,March,march,later,False,True,34.759413
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-middle-late-AB,p02,During which month does the Talmeri start migrating north?,conflict,middle-late,AB,2500,4500,September,March,September,september,earlier,False,True,2.613655
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-middle-late-AB,p02,During which month does the Talmeri start migrating north?,conflict,middle-late,AB,2500,4500,September,March,September,september,earlier,False,True,5.956441
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-middle-late-BA,p02,During which month does the Talmeri start migrating north?,conflict,middle-late,BA,2500,4500,March,September,September,september,later,False,True,87.941317
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-middle-late-BA,p02,During which month does the Talmeri start migrating north?,conflict,middle-late,BA,2500,4500,March,September,March,march,earlier,False,True,5.316788
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-middle-late-BA,p02,During which month does the Talmeri start migrating north?,conflict,middle-late,BA,2500,4500,March,September,September,september,later,False,True,20.901444
google/gemma-4-31b-it,Gemma 4 31B Instruct,p02-n5000-middle-late-BB,p02,During which month does the Talmeri start migrating north?,agreement,middle-late,BB,2500,4500,March,March,March,march,supported,False,True,87.01524
openai/gpt-5.6-luna,GPT-5.6 Luna,p02-n5000-middle-late-BB,p02,During which month does the Talmeri start migrating north?,agreement,middle-late,BB,2500,4500,March,March,March,march,supported,False,True,2.456252
z-ai/glm-5.3-flash,GLM 5.3 Flash,p02-n5000-middle-late-BB,p02,During which month does the Talmeri start migrating north?,agreement,middle-late,BB,2500,4500,March,March,March,march,supported,False,True,21.243486
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-early-late-AA,p03,During which month does the Selkor shed its winter coat?,agreement,early-late,AA,500,4500,May,May,June,june,other,False,True,154.826431
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-early-late-AA,p03,During which month does the Selkor shed its winter coat?,agreement,early-late,AA,500,4500,May,May,May,may,supported,False,True,1.982638
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-early-late-AA,p03,During which month does the Selkor shed its winter coat?,agreement,early-late,AA,500,4500,May,May,May,may,supported,False,True,14.54927
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-early-late-AB,p03,During which month does the Selkor shed its winter coat?,conflict,early-late,AB,500,4500,May,January,January,january,later,False,True,89.022082
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-early-late-AB,p03,During which month does the Selkor shed its winter coat?,conflict,early-late,AB,500,4500,May,January,May,may,earlier,False,True,2.882967
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-early-late-AB,p03,During which month does the Selkor shed its winter coat?,conflict,early-late,AB,500,4500,May,January,May,may,earlier,False,True,15.580245
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-early-late-BA,p03,During which month does the Selkor shed its winter coat?,conflict,early-late,BA,500,4500,January,May,January,january,earlier,False,True,51.511666
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-early-late-BA,p03,During which month does the Selkor shed its winter coat?,conflict,early-late,BA,500,4500,January,May,January,january,earlier,False,True,2.165647
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-early-late-BA,p03,During which month does the Selkor shed its winter coat?,conflict,early-late,BA,500,4500,January,May,January,january,earlier,False,True,14.345607
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-early-late-BB,p03,During which month does the Selkor shed its winter coat?,agreement,early-late,BB,500,4500,January,January,January,january,supported,False,True,33.152671
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-early-late-BB,p03,During which month does the Selkor shed its winter coat?,agreement,early-late,BB,500,4500,January,January,January,january,supported,False,True,1.691524
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-early-late-BB,p03,During which month does the Selkor shed its winter coat?,agreement,early-late,BB,500,4500,January,January,January,january,supported,False,True,14.749531
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-early-middle-AA,p03,During which month does the Selkor shed its winter coat?,agreement,early-middle,AA,500,2500,May,May,June,june,other,False,True,130.678113
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-early-middle-AA,p03,During which month does the Selkor shed its winter coat?,agreement,early-middle,AA,500,2500,May,May,May,may,supported,False,True,2.245452
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-early-middle-AA,p03,During which month does the Selkor shed its winter coat?,agreement,early-middle,AA,500,2500,May,May,May,may,supported,False,True,11.713816
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-early-middle-AB,p03,During which month does the Selkor shed its winter coat?,conflict,early-middle,AB,500,2500,May,January,January,january,later,False,True,311.362255
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-early-middle-AB,p03,During which month does the Selkor shed its winter coat?,conflict,early-middle,AB,500,2500,May,January,May,may,earlier,False,True,1.722947
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-early-middle-AB,p03,During which month does the Selkor shed its winter coat?,conflict,early-middle,AB,500,2500,May,January,May,may,earlier,False,True,22.458815
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-early-middle-BA,p03,During which month does the Selkor shed its winter coat?,conflict,early-middle,BA,500,2500,January,May,January,january,earlier,False,True,36.217222
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-early-middle-BA,p03,During which month does the Selkor shed its winter coat?,conflict,early-middle,BA,500,2500,January,May,January,january,earlier,False,True,1.620457
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-early-middle-BA,p03,During which month does the Selkor shed its winter coat?,conflict,early-middle,BA,500,2500,January,May,January,january,earlier,False,True,14.936708
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-early-middle-BB,p03,During which month does the Selkor shed its winter coat?,agreement,early-middle,BB,500,2500,January,January,January,january,supported,False,True,111.098582
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-early-middle-BB,p03,During which month does the Selkor shed its winter coat?,agreement,early-middle,BB,500,2500,January,January,January,january,supported,False,True,2.376422
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-early-middle-BB,p03,During which month does the Selkor shed its winter coat?,agreement,early-middle,BB,500,2500,January,January,January,january,supported,False,True,19.639441
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-middle-late-AA,p03,During which month does the Selkor shed its winter coat?,agreement,middle-late,AA,2500,4500,May,May,May,may,supported,False,True,101.685658
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-middle-late-AA,p03,During which month does the Selkor shed its winter coat?,agreement,middle-late,AA,2500,4500,May,May,May,may,supported,False,True,2.558951
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-middle-late-AA,p03,During which month does the Selkor shed its winter coat?,agreement,middle-late,AA,2500,4500,May,May,May,may,supported,False,True,13.066893
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-middle-late-AB,p03,During which month does the Selkor shed its winter coat?,conflict,middle-late,AB,2500,4500,May,January,January,january,later,False,True,85.149334
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-middle-late-AB,p03,During which month does the Selkor shed its winter coat?,conflict,middle-late,AB,2500,4500,May,January,May,may,earlier,False,True,1.808588
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-middle-late-AB,p03,During which month does the Selkor shed its winter coat?,conflict,middle-late,AB,2500,4500,May,January,May,may,earlier,False,True,15.015611
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-middle-late-BA,p03,During which month does the Selkor shed its winter coat?,conflict,middle-late,BA,2500,4500,January,May,January,january,earlier,False,True,112.2393
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-middle-late-BA,p03,During which month does the Selkor shed its winter coat?,conflict,middle-late,BA,2500,4500,January,May,January,january,earlier,False,True,1.738529
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-middle-late-BA,p03,During which month does the Selkor shed its winter coat?,conflict,middle-late,BA,2500,4500,January,May,January,january,earlier,False,True,19.121684
google/gemma-4-31b-it,Gemma 4 31B Instruct,p03-n5000-middle-late-BB,p03,During which month does the Selkor shed its winter coat?,agreement,middle-late,BB,2500,4500,January,January,January,january,supported,False,True,35.945822
openai/gpt-5.6-luna,GPT-5.6 Luna,p03-n5000-middle-late-BB,p03,During which month does the Selkor shed its winter coat?,agreement,middle-late,BB,2500,4500,January,January,January,january,supported,False,True,1.935548
z-ai/glm-5.3-flash,GLM 5.3 Flash,p03-n5000-middle-late-BB,p03,During which month does the Selkor shed its winter coat?,agreement,middle-late,BB,2500,4500,January,January,January,january,supported,False,True,20.219657
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-early-late-AA,p04,During which month does the Vireli enter hibernation?,agreement,early-late,AA,500,4500,January,January,January,january,supported,False,True,129.083565
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-early-late-AA,p04,During which month does the Vireli enter hibernation?,agreement,early-late,AA,500,4500,January,January,January,january,supported,False,True,2.310318
z-ai/glm-5.3-flash,GLM 5.3 Flash,p04-n5000-early-late-AA,p04,During which month does the Vireli enter hibernation?,agreement,early-late,AA,500,4500,January,January,January,january,supported,False,True,13.643459
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-early-late-AB,p04,During which month does the Vireli enter hibernation?,conflict,early-late,AB,500,4500,January,May,January,january,earlier,False,True,32.437972
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-early-late-AB,p04,During which month does the Vireli enter hibernation?,conflict,early-late,AB,500,4500,January,May,January,january,earlier,False,True,2.599282
z-ai/glm-5.3-flash,GLM 5.3 Flash,p04-n5000-early-late-AB,p04,During which month does the Vireli enter hibernation?,conflict,early-late,AB,500,4500,January,May,May,may,later,False,True,25.698556
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-early-late-BA,p04,During which month does the Vireli enter hibernation?,conflict,early-late,BA,500,4500,May,January,January,january,later,False,True,97.202107
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-early-late-BA,p04,During which month does the Vireli enter hibernation?,conflict,early-late,BA,500,4500,May,January,May,may,earlier,False,True,2.338194
z-ai/glm-5.3-flash,GLM 5.3 Flash,p04-n5000-early-late-BA,p04,During which month does the Vireli enter hibernation?,conflict,early-late,BA,500,4500,May,January,January,january,later,False,True,18.252768
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-early-late-BB,p04,During which month does the Vireli enter hibernation?,agreement,early-late,BB,500,4500,May,May,May,may,supported,False,True,55.206138
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-early-late-BB,p04,During which month does the Vireli enter hibernation?,agreement,early-late,BB,500,4500,May,May,May,may,supported,False,True,2.012368
z-ai/glm-5.3-flash,GLM 5.3 Flash,p04-n5000-early-late-BB,p04,During which month does the Vireli enter hibernation?,agreement,early-late,BB,500,4500,May,May,May,may,supported,False,True,10.572891
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-early-middle-AA,p04,During which month does the Vireli enter hibernation?,agreement,early-middle,AA,500,2500,January,January,January,january,supported,False,True,101.436419
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-early-middle-AA,p04,During which month does the Vireli enter hibernation?,agreement,early-middle,AA,500,2500,January,January,January,january,supported,False,True,1.744072
z-ai/glm-5.3-flash,GLM 5.3 Flash,p04-n5000-early-middle-AA,p04,During which month does the Vireli enter hibernation?,agreement,early-middle,AA,500,2500,January,January,January,january,supported,False,True,7.285655
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-early-middle-AB,p04,During which month does the Vireli enter hibernation?,conflict,early-middle,AB,500,2500,January,May,January,january,earlier,False,True,129.766944
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-early-middle-AB,p04,During which month does the Vireli enter hibernation?,conflict,early-middle,AB,500,2500,January,May,January,january,earlier,False,True,2.179648
z-ai/glm-5.3-flash,GLM 5.3 Flash,p04-n5000-early-middle-AB,p04,During which month does the Vireli enter hibernation?,conflict,early-middle,AB,500,2500,January,May,January,january,earlier,False,True,12.082511
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-early-middle-BA,p04,During which month does the Vireli enter hibernation?,conflict,early-middle,BA,500,2500,May,January,January,january,later,False,True,35.849437
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-early-middle-BA,p04,During which month does the Vireli enter hibernation?,conflict,early-middle,BA,500,2500,May,January,May,may,earlier,False,True,2.10524
z-ai/glm-5.3-flash,GLM 5.3 Flash,p04-n5000-early-middle-BA,p04,During which month does the Vireli enter hibernation?,conflict,early-middle,BA,500,2500,May,January,May,may,earlier,False,True,13.044842
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-early-middle-BB,p04,During which month does the Vireli enter hibernation?,agreement,early-middle,BB,500,2500,May,May,May,may,supported,False,True,110.237771
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-early-middle-BB,p04,During which month does the Vireli enter hibernation?,agreement,early-middle,BB,500,2500,May,May,May,may,supported,False,True,1.745072
z-ai/glm-5.3-flash,GLM 5.3 Flash,p04-n5000-early-middle-BB,p04,During which month does the Vireli enter hibernation?,agreement,early-middle,BB,500,2500,May,May,May,may,supported,False,True,14.98775
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-middle-late-AA,p04,During which month does the Vireli enter hibernation?,agreement,middle-late,AA,2500,4500,January,January,January,january,supported,False,True,86.411904
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-middle-late-AA,p04,During which month does the Vireli enter hibernation?,agreement,middle-late,AA,2500,4500,January,January,January,january,supported,False,True,2.182449
z-ai/glm-5.3-flash,GLM 5.3 Flash,p04-n5000-middle-late-AA,p04,During which month does the Vireli enter hibernation?,agreement,middle-late,AA,2500,4500,January,January,January,january,supported,False,True,8.823579
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-middle-late-AB,p04,During which month does the Vireli enter hibernation?,conflict,middle-late,AB,2500,4500,January,May,January,january,earlier,False,True,266.22772
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-middle-late-AB,p04,During which month does the Vireli enter hibernation?,conflict,middle-late,AB,2500,4500,January,May,January,january,earlier,False,True,2.827516
z-ai/glm-5.3-flash,GLM 5.3 Flash,p04-n5000-middle-late-AB,p04,During which month does the Vireli enter hibernation?,conflict,middle-late,AB,2500,4500,January,May,January,january,earlier,False,True,16.870613
google/gemma-4-31b-it,Gemma 4 31B Instruct,p04-n5000-middle-late-BA,p04,During which month does the Vireli enter hibernation?,conflict,middle-late,BA,2500,4500,May,January,January,january,later,False,True,38.361669
openai/gpt-5.6-luna,GPT-5.6 Luna,p04-n5000-middle-late-BA,p04,During which month does the Vireli enter hibernation?,conflict,middle-late,BA,2500,4500,May,January,May,may,earlier,False,True,1.772639
